SplittableRandom.nextIntAlt1()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 d7dc778c6cdef66a | 1111110011011111111111110101111111111111111111111111101111011111 57 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.80784652...0.80784652 | 1*PASSED
 a7b4249a8112baec | 1111111111111111011111110111011011111111111111110111111111101111 58 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.74238465...0.74238465 | 1*PASSED
 107203b5bbad2989 | 1111101111111111111111111111111111011101111111111111111110101111 59 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.79216278...0.79216278 | 1*PASSED
 5385a8aa2901349f | 1111111111111011111111111111111111111101111101110111111111111111 60 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.83318902...0.83318902 | 1*PASSED
 aab8831da0cff274 | 1101111111111111111111111111111111111111111111111111111110101111 61 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.43085532...0.43085532 | 1*PASSED
 c2568d01e56dd5a0 | 1111111111111111111111111111101101111111111111111111111111111111 62 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.65072644...0.65072644 | 1*PASSED
 444d7011abea9f3a | 1111111111111111111111111111111111111111111111111110111111111111 63 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.56232435...0.56232435 | 1*PASSED
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 843a3d66d226a29c | 0000000000000000100000000000000000000000000000000000000000000000  1 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.38179925...0.38179925 | 1*PASSED
 b51bf81f7f6a28e0 | 0011000000000000000000000000000000000000000000000000000000000000  2 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.80515235...0.80515235 | 1*PASSED
 75545ad2acaef88d | 0000000000000010000000000000000000001000000000000000000000010000  3 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.01381286...0.01381286 | 1*PASSED
 71ac009933851095 | 0000010000000000000000000000000000000100110000000000000000000000  4 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.84105788...0.84105788 | 1*PASSED
 4d4f2fecd817a4ee | 0000000110000000000010000000000000000000000000010000000000000010  5 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.81367641...0.81367641 | 1*PASSED
 c643495ae425194e | 0000000010010000000000000000000000000000000000110000010010000000  6 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.75548763...0.75548763 | 1*PASSED
 2d39c9a2b3141e7d | 0001010000000000000000000001000010000000000100000010000000000010  7 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.63519363...0.63519363 | 1*PASSED
 29b45fae3bccb6af | 0000001010000000000011000000001000000001000000000000100010000000  8 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.06430613...0.06430613 | 1*PASSED
 6017fc84754cbdfb | 0100101000011000000000000000000000000010000000000010001000000001  9 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.72160995...0.72160995 | 1*PASSED
  c24df90f867e498 | 0000010000100000000000000000000001000011001000001000001010100000 10 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.25235989...0.25235989 | 1*PASSED
  e239f461a39f352 | 1100000000100001000100011000000000000000000100000010000000100100 11 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.48275536...0.48275536 | 1*PASSED
 9da5a6ca3ff76245 | 0011100000000000110010000000000000001000000100000110000000001001 12 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.17741800...0.17741800 | 1*PASSED
 af691f4ae245351b | 0000001010010100000000001000000000010001000000111000000010001100 13 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.52925894...0.52925894 | 1*PASSED
 4481ee217f0411fb | 0100011100010000000001100000000100010000010000100010000110000000 14 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.65262740...0.65262740 | 1*PASSED
  325b3f0484ff3b0 | 1000001101000000001110000010001000000000010100000000000101100010 15 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.25283384...0.25283384 | 1*PASSED
 84bb267717fc218d | 0000100000000001000101000100011001000010000100000001011110001000 16 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.31059967...0.31059967 | 1*PASSED
  e00621d0e882e92 | 0000100100011111000010010000000010000110000001000010010100000001 17 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.96445350...0.96445350 | 1*PASSED
 729d84e1a14661be | 0010111100000000000000001101110000110110101010000000000000000010 18 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.57599842...0.57599842 | 1*PASSED
 1d3fa2c67f771644 | 0000000000101100001001010010100000010001001110110010000101001000 19 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.84274432...0.84274432 | 1*PASSED
 cc996661a096dd25 | 1101000000011000001100010100010000010101001011010000000000001101 20 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.66996233...0.66996233 | 1*PASSED
 6cc8136b5987e5b8 | 0011101000000110000000000010000100011001101010010101000010010101 21 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.52873385...0.52873385 | 1*PASSED
 d06c87233b6ac1e2 | 1000100100110000001010010010000010011011001001000000101100010110 22 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.70239187...0.70239187 | 1*PASSED
 ad68e4a2fb3f9409 | 0011010010000011000101110000110000000100000110010011100011000011 23 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.36324134...0.36324134 | 1*PASSED
 1dc745797cfd2022 | 1001011000000110000000000100001011110001100001110010011110010001 24 |   1 |       diehard_operm5 |  0... 0 |  1000000 |      100 | 0.03371135...0.03371135 | 1*PASSED
